name,position,value,teamName,teamId
Alisson,Goalkeeper,€80.00m  ,Liverpool,1612
Simon Mignolet,Goalkeeper,€8.00m  ,Liverpool,1612
Loris Karius,Goalkeeper,€5.00m  ,Liverpool,1612
Ádám Bogdán,Goalkeeper,€500Th.  ,Liverpool,1612
Kamil Grabara,Goalkeeper,€400Th.  ,Liverpool,1612
Caoimhin Kelleher,Goalkeeper, ,Liverpool,1612
Virgil van Dijk,Centre-Back,€90.00m  ,Liverpool,1612
Joe Gomez,Centre-Back,€35.00m  ,Liverpool,1612
Joel Matip,Centre-Back,€30.00m  ,Liverpool,1612
Dejan Lovren,Centre-Back,€20.00m  ,Liverpool,1612
Andrew Robertson,Left-Back,€60.00m  ,Liverpool,1612
Alberto Moreno,Left-Back,€9.00m  ,Liverpool,1612
Trent Alexander-Arnold,Right-Back,€80.00m  ,Liverpool,1612
Nathaniel Clyne,Right-Back,€12.00m  ,Liverpool,1612
Connor Randall,Right-Back,€500Th.  ,Liverpool,1612
Ki-Jana Hoever,Right-Back, ,Liverpool,1612
Fabinho,Defensive Midfield,€50.00m  ,Liverpool,1612
Naby Keïta,Central Midfield,€60.00m  ,Liverpool,1612
Georginio Wijnaldum,Central Midfield,€50.00m  ,Liverpool,1612
Jordan Henderson,Central Midfield,€35.00m  ,Liverpool,1612
Alex Oxlade-Chamberlain,Central Midfield,€35.00m  ,Liverpool,1612
Marko Grujic,Central Midfield,€20.00m  ,Liverpool,1612
James Milner,Central Midfield,€15.00m  ,Liverpool,1612
Curtis Jones,Central Midfield, ,Liverpool,1612
Adam Lallana,Attacking Midfield,€15.00m  ,Liverpool,1612
Ben Woodburn,Attacking Midfield,€5.00m  ,Liverpool,1612
Isaac Christie-Davies,Attacking Midfield, ,Liverpool,1612
Sadio Mané,Left Winger,€120.00m  ,Liverpool,1612
Mohamed Salah,Right Winger,€150.00m  ,Liverpool,1612
Xherdan Shaqiri,Right Winger,€25.00m  ,Liverpool,1612
Harry Wilson,Right Winger,€12.00m  ,Liverpool,1612
Sheyi Ojo,Right Winger,€2.00m  ,Liverpool,1612
Rafael Camacho,Right Winger, ,Liverpool,1612
Roberto Firmino,Centre-Forward,€80.00m  ,Liverpool,1612
Divock Origi,Centre-Forward,€20.00m  ,Liverpool,1612
Dominic Solanke,Centre-Forward,€18.00m  ,Liverpool,1612
Danny Ings,Centre-Forward,€15.00m  ,Liverpool,1612
Daniel Sturridge,Centre-Forward,€15.00m  ,Liverpool,1612
Rhian Brewster,Centre-Forward, ,Liverpool,1612
Ederson,Goalkeeper,€70.00m  ,Manchester City,1625
Claudio Bravo,Goalkeeper,€2.50m  ,Manchester City,1625
Arijanet Muric,Goalkeeper,€2.00m  ,Manchester City,1625
Daniel Grimshaw,Goalkeeper, ,Manchester City,1625
Aymeric Laporte,Centre-Back,€75.00m  ,Manchester City,1625
John Stones,Centre-Back,€60.00m  ,Manchester City,1625
Nicolás Otamendi,Centre-Back,€25.00m  ,Manchester City,1625
Eliaquim Mangala,Centre-Back,€10.00m  ,Manchester City,1625
Vincent Kompany,Centre-Back,€8.00m  ,Manchester City,1625
Philippe Sandler,Centre-Back,€2.50m  ,Manchester City,1625
Pablo Marí,Centre-Back,€800Th.  ,Manchester City,1625
Erik Palmer-Brown,Centre-Back,€600Th.  ,Manchester City,1625
Eric García,Centre-Back, ,Manchester City,1625
Cameron Humphreys,Centre-Back, ,Manchester City,1625
Benjamin Mendy,Left-Back,€35.00m  ,Manchester City,1625
Oleksandr Zinchenko,Left-Back,€20.00m  ,Manchester City,1625
Kyle Walker,Right-Back,€50.00m  ,Manchester City,1625
Danilo,Right-Back,€20.00m  ,Manchester City,1625
Fernandinho,Defensive Midfield,€12.00m  ,Manchester City,1625
Douglas Luiz,Defensive Midfield,€2.50m  ,Manchester City,1625
Luke Brattan,Defensive Midfield,€500Th.  ,Manchester City,1625
Claudio Gomes,Defensive Midfield, ,Manchester City,1625
Ilkay Gündogan,Central Midfield,€50.00m  ,Manchester City,1625
Phil Foden,Central Midfield,€25.00m  ,Manchester City,1625
Fabian Delph,Central Midfield,€15.00m  ,Manchester City,1625
Aleix García,Central Midfield,€3.00m  ,Manchester City,1625
Mix Diskerud,Central Midfield,€1.00m  ,Manchester City,1625
Anthony Cáceres,Central Midfield,€350Th.  ,Manchester City,1625
Taylor Richards,Central Midfield, ,Manchester City,1625
Luke Bolton,, ,Manchester City,1625
Kevin De Bruyne,Attacking Midfield,€130.00m  ,Manchester City,1625
David Silva,Attacking Midfield,€20.00m  ,Manchester City,1625
Brahim Díaz,Attacking Midfield,€17.00m  ,Manchester City,1625
Luka Ilic,Attacking Midfield,€1.00m  ,Manchester City,1625
Felix Nmecha,Attacking Midfield, ,Manchester City,1625
Adrián Bernabé,Attacking Midfield, ,Manchester City,1625
Raheem Sterling,Left Winger,€140.00m  ,Manchester City,1625
Leroy Sané,Left Winger,€100.00m  ,Manchester City,1625
Jack Harrison,Left Winger,€4.00m  ,Manchester City,1625
Marlos Moreno,Left Winger,€700Th.  ,Manchester City,1625
Bernardo Silva,Right Winger,€100.00m  ,Manchester City,1625
Riyad Mahrez,Right Winger,€60.00m  ,Manchester City,1625
Patrick Roberts,Right Winger,€5.00m  ,Manchester City,1625
Ian Poveda,Right Winger, ,Manchester City,1625
Gabriel Jesus,Centre-Forward,€70.00m  ,Manchester City,1625
Sergio Agüero,Centre-Forward,€65.00m  ,Manchester City,1625
Kepa,Goalkeeper,€60.00m  ,Chelsea,1610
Willy Caballero,Goalkeeper,€1.00m  ,Chelsea,1610
Eduardo,Goalkeeper,€750Th.  ,Chelsea,1610
Jamal Blackman,Goalkeeper,€500Th.  ,Chelsea,1610
Rob Green,Goalkeeper,€250Th.  ,Chelsea,1610
